Hora: 00:35, Moeda: JPY, Evento: , Atual: Leilão JGB a 5 anos, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 09:30, Moeda: USD, Evento: , Atual: IPC sem Ajuste Sazonal (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 09:30, Moeda: USD, Evento: , Atual: Pedidos Iniciais por Seguro-Desemprego, Data: 10/10/2024, ImpactoTit: Alta
Hora: 09:30, Moeda: USD, Evento: , Atual: Média de Pedidos de Seguro-Desemprego (4 Semanas), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 09:30, Moeda: USD, Evento: , Atual: Rendimento Real (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 10:15, Moeda: USD, Evento: , Atual: Discurso de Cook, governador do Fed, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 19 min, Moeda: MXN, Evento: , Atual: Atas da Reunião de Política Monetária, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 49 min, Moeda: USD, Evento: , Atual: Discurso de Barkin, Membro do FOMC, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 49 min, Moeda: USD, Evento: , Atual: Estoque de Gás Natural, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 12:00, Moeda: USD, Evento: , Atual: IPC - Cleveland (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 12:00, Moeda: USD, Evento: , Atual: Discurso de Williams, membro do FOMC, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 12:30, Moeda: USD, Evento: , Atual: Leilão Americano Bill a 4 semanas, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 12:30, Moeda: USD, Evento: , Atual: Leilão Americano Bill a 8 semanas, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 14:00, Moeda: USD, Evento: , Atual: Leilão Americano Bond a 30 anos, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 14:00, Moeda: EUR, Evento: , Atual: Discurso de Nagel, Presidente do Bundesbank, Data: 10/10/2024, ImpactoTit: Moderada
Hora: 15:00, Moeda: USD, Evento: , Atual: Balanço Orçamentário Federal (Set), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 16:00, Moeda: ARS, Evento: , Atual: IPC Argentina (Anual) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 16:00, Moeda: ARS, Evento: , Atual: IPC (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 17:30, Moeda: USD, Evento: , Atual: Fed's Balance Sheet, Data: 10/10/2024, ImpactoTit: Alta
Hora: 17:30, Moeda: USD, Evento: , Atual: Saldos de reservas com bancos do Federal Reserve, Data: 10/10/2024, ImpactoTit: Baixa
Hora: 18:30, Moeda: NZD, Evento: , Atual: PMI Industrial NZ (Set), Data: 10/10/2024, ImpactoTit: Moderada
Hora: 18:45, Moeda: NZD, Evento: , Atual: Entrada de Imigrantes e Turistas (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 18:45, Moeda: NZD, Evento: , Atual: Índice de Preços de Alimentos (Mensal) (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 18:45, Moeda: NZD, Evento: , Atual: Imigração Permanente/Longo Prazo (Ago), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 18:45, Moeda: NZD, Evento: , Atual: Chegada de Turistas (Mensal), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 20:50, Moeda: JPY, Evento: , Atual: Medida Ampla de Oferta Monetária (M2) (Anual), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 20:50, Moeda: JPY, Evento: , Atual: Massa Monetária - Agregado M3 (Set), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 23:00, Moeda: INR, Evento: , Atual: PCSI da Thomson Reuters/IPSOS (Mensal) (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 23:00, Moeda: AUD, Evento: , Atual: PCSI da Thomson Reuters/IPSOS (Mensal) (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 23:00, Moeda: JPY, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - Japão (Out), Data: 10/10/2024, ImpactoTit: Baixa
Hora: 23:00, Moeda: CNY, Evento: , Atual: PCSI da Thomson Reuters/IPSOS - China (Out), Data: 10/10/2024, ImpactoTit: Baixa
